date,indicator_id,region_id,value
2008-03-31,ZSFH,99999,222485.0
2008-02-29,ZSFH,99999,222009.0
2008-01-31,ZSFH,99999,220783.0
2007-12-31,ZSFH,99999,219191.0
2007-11-30,ZSFH,99999,217548.0
2007-10-31,ZSFH,99999,216690.0
2007-09-30,ZSFH,99999,218624.0
2007-08-31,ZSFH,99999,220110.0
2007-07-31,ZSFH,99999,219686.0
2007-06-30,ZSFH,99999,217035.0
2007-05-31,ZSFH,99999,213196.0
2007-04-30,ZSFH,99999,210060.0
2007-03-31,ZSFH,99999,205268.0
2007-02-28,ZSFH,99999,202023.0
2007-01-31,ZSFH,99999,200260.0
2006-12-31,ZSFH,99999,198535.0
2006-11-30,ZSFH,99999,197924.0
2006-10-31,ZSFH,99999,196573.0
2006-09-30,ZSFH,99999,193744.0
2006-08-31,ZSFH,99999,189865.0
2006-07-31,ZSFH,99999,187126.0
2006-06-30,ZSFH,99999,187415.0
2006-05-31,ZSFH,99999,188323.0
2006-04-30,ZSFH,99999,188989.0
2006-03-31,ZSFH,99999,188116.0
2006-02-28,ZSFH,99999,186794.0
2006-01-31,ZSFH,99999,184637.0
2005-12-31,ZSFH,99999,183392.0
2005-11-30,ZSFH,99999,181214.0
2005-10-31,ZSFH,99999,179215.0
2005-09-30,ZSFH,99999,177270.0
2005-08-31,ZSFH,99999,176223.0
2005-07-31,ZSFH,99999,174991.0
2005-06-30,ZSFH,99999,172571.0
2005-05-31,ZSFH,99999,169868.0
2005-04-30,ZSFH,99999,167105.0
2005-03-31,ZSFH,99999,165721.0
2005-02-28,ZSFH,99999,164998.0
2005-01-31,ZSFH,99999,164988.0
2023-11-30,ZSFH,99998,425576.183088126
2023-10-31,ZSFH,99998,425934.539615067
2023-09-30,ZSFH,99998,426907.287625728
2023-08-31,ZSFH,99998,428246.776301969
2023-07-31,ZSFH,99998,429141.364692116
2023-06-30,ZSFH,99998,430013.106366001
2023-05-31,ZSFH,99998,429615.800197269
2023-04-30,ZSFH,99998,429124.32449107
2023-03-31,ZSFH,99998,427808.642968342
2023-02-28,ZSFH,99998,429739.604559713
2023-01-31,ZSFH,99998,432730.423302556
2022-12-31,ZSFH,99998,436539.409985166
2022-11-30,ZSFH,99998,437476.451519872
2022-10-31,ZSFH,99998,438957.272091137
2022-09-30,ZSFH,99998,441837.578262492
2022-08-31,ZSFH,99998,446784.028295059
2022-07-31,ZSFH,99998,450717.31927663
2022-06-30,ZSFH,99998,450571.967254069
2022-05-31,ZSFH,99998,446203.182824158
2022-04-30,ZSFH,99998,438194.82619309
2022-03-31,ZSFH,99998,429278.394011339
2022-02-28,ZSFH,99998,419383.478828852
2022-01-31,ZSFH,99998,412627.943604133
2021-12-31,ZSFH,99998,407732.278363661
2021-11-30,ZSFH,99998,404182.84573068
2021-10-31,ZSFH,99998,399624.534325744
2021-09-30,ZSFH,99998,394208.541548356
2021-08-31,ZSFH,99998,389272.725518383
2021-07-31,ZSFH,99998,383960.570804608
2021-06-30,ZSFH,99998,377759.317268236
2021-05-31,ZSFH,99998,370848.598648913
2021-04-30,ZSFH,99998,363153.262425925
2021-03-31,ZSFH,99998,355156.696628735
2021-02-28,ZSFH,99998,347232.494964234
2021-01-31,ZSFH,99998,338603.674984961
2020-12-31,ZSFH,99998,329308.267250035
2020-11-30,ZSFH,99998,320472.170582934
2020-10-31,ZSFH,99998,312907.362195255
2020-09-30,ZSFH,99998,307214.446895494
2020-08-31,ZSFH,99998,301741.434072291
2020-07-31,ZSFH,99998,297346.157941249
2020-06-30,ZSFH,99998,294335.168209219
2020-05-31,ZSFH,99998,291220.084127672
2020-04-30,ZSFH,99998,288557.828823207
2020-03-31,ZSFH,99998,286728.429311034
2020-02-29,ZSFH,99998,286649.152317327
2020-01-31,ZSFH,99998,286358.117411319
2019-12-31,ZSFH,99998,284926.413282067
2019-11-30,ZSFH,99998,282746.088531615
2019-10-31,ZSFH,99998,280680.857043552
2019-09-30,ZSFH,99998,279029.476543248
2019-08-31,ZSFH,99998,278051.79497692
2019-07-31,ZSFH,99998,277060.114066994
2019-06-30,ZSFH,99998,276074.322598199
2019-05-31,ZSFH,99998,274787.33863693
2019-04-30,ZSFH,99998,273455.295055847
2019-03-31,ZSFH,99998,272282.395746741
2019-02-28,ZSFH,99998,272267.05704648
2019-01-31,ZSFH,99998,272754.353142163
2018-12-31,ZSFH,99998,272408.75627135
2018-11-30,ZSFH,99998,270212.180216026
2018-10-31,ZSFH,99998,267434.785875701
2018-09-30,ZSFH,99998,265028.438392518
2018-08-31,ZSFH,99998,261867.227986084
2018-07-31,ZSFH,99998,258643.339664636
2018-06-30,ZSFH,99998,256126.328580359
2018-05-31,ZSFH,99998,254334.873486336
2018-04-30,ZSFH,99998,252399.341952548
2018-03-31,ZSFH,99998,250215.11606482
2018-02-28,ZSFH,99998,248583.52914912
2018-01-31,ZSFH,99998,247376.887598258
2017-12-31,ZSFH,99998,245985.407808971
2017-11-30,ZSFH,99998,244914.609119799
2017-10-31,ZSFH,99998,244291.576462587
2017-09-30,ZSFH,99998,243946.827804189
2017-08-31,ZSFH,99998,243133.409741286
2017-07-31,ZSFH,99998,241953.114762968
2017-06-30,ZSFH,99998,240706.52683295
2017-05-31,ZSFH,99998,239207.330312075
2017-04-30,ZSFH,99998,238176.446021711
2017-03-31,ZSFH,99998,237460.540192642
2017-02-28,ZSFH,99998,237701.559309663
2017-01-31,ZSFH,99998,237659.011012104
2016-12-31,ZSFH,99998,237189.856652422
2016-11-30,ZSFH,99998,236311.089904755
2016-10-31,ZSFH,99998,235493.36533046
2016-09-30,ZSFH,99998,234660.865262493
2016-08-31,ZSFH,99998,234193.318166112
2016-07-31,ZSFH,99998,233347.135995091
2016-06-30,ZSFH,99998,232408.489896226
2016-05-31,ZSFH,99998,231246.280871631
2016-04-30,ZSFH,99998,230972.035592085
2016-03-31,ZSFH,99998,231426.23755304
2016-02-29,ZSFH,99998,231404.622898473
2016-01-31,ZSFH,99998,230466.013687667
2015-12-31,ZSFH,99998,229348.402162248
2015-11-30,ZSFH,99998,228693.632966829
2015-10-31,ZSFH,99998,228430.589101919
2015-09-30,ZSFH,99998,227237.168389808
2015-08-31,ZSFH,99998,225498.428995929
2015-07-31,ZSFH,99998,223171.677039182
2015-06-30,ZSFH,99998,221231.355889911
2015-05-31,ZSFH,99998,219255.093192277
2015-04-30,ZSFH,99998,217140.874934728
2015-03-31,ZSFH,99998,214300.68609147
2015-02-28,ZSFH,99998,212464.77451351
