date,value
2021-06-30,307204.0
2021-05-31,304776.0
2021-04-30,312272.0
2021-03-31,316705.0
2021-02-28,303909.0
2021-01-31,306196.0
2020-12-31,298951.0
2020-11-30,293081.0
2020-10-31,295995.0
2020-09-30,299890.0
2020-08-31,301682.0
2020-07-31,284740.0
2020-06-30,296682.0
2020-05-31,289211.0
2020-04-30,290721.0
2020-03-31,291574.0
2020-02-29,292572.0
2020-01-31,292643.0
2019-12-31,293197.0
2019-11-30,291905.0
2019-10-31,290949.0
2019-09-30,289227.0
2019-08-31,287519.0
2019-07-31,285343.0
2019-06-30,281579.0
2019-05-31,278565.0
2019-04-30,276179.0
2019-03-31,274981.0
2019-02-28,272581.0
2019-01-31,270865.0
2018-12-31,268621.0
2018-11-30,267671.0
2018-10-31,265982.0
2018-09-30,264979.0
2018-08-31,263582.0
2018-07-31,263904.0
2018-06-30,265633.0
2018-05-31,265369.0
2018-04-30,263607.0
2018-03-31,260468.0
2018-02-28,258140.0
2018-01-31,255883.0
2017-12-31,253146.0
2017-11-30,251721.0
2017-10-31,249891.0
2017-09-30,248058.0
2017-08-31,246292.0
2017-07-31,243629.0
2017-06-30,241339.0
2017-05-31,238856.0
2017-04-30,237041.0
2017-03-31,234616.0
2017-02-28,232718.0
2017-01-31,230892.0
2016-12-31,229001.0
2016-11-30,226434.0
2016-10-31,224685.0
2016-09-30,222564.0
2016-08-31,220526.0
2016-07-31,217601.0
2016-06-30,215252.0
2016-05-31,213891.0
2016-04-30,212577.0
2016-03-31,212775.0
2016-02-29,211513.0
2016-01-31,210349.0
2015-12-31,208236.0
2015-11-30,205967.0
2015-10-31,204205.0
2015-09-30,203502.0
2015-08-31,203001.0
2015-07-31,202786.0
2015-06-30,200590.0
2015-05-31,197933.0
2015-04-30,195142.0
2015-03-31,192889.0
2015-02-28,192088.0
2015-01-31,190836.0
2014-12-31,190184.0
2014-11-30,189522.0
2014-10-31,188164.0
2014-09-30,186483.0
2014-08-31,184590.0
2014-07-31,183313.0
2014-06-30,182996.0
2014-05-31,182192.0
2014-04-30,181955.0
2014-03-31,180771.0
2014-02-28,179841.0
2014-01-31,178478.0
2013-12-31,177337.0
2013-11-30,176360.0
2013-10-31,175552.0
2013-09-30,175147.0
2013-08-31,174625.0
2013-07-31,173755.0
2013-06-30,172282.0
2013-05-31,171638.0
2013-04-30,171105.0
2013-03-31,170240.0
2013-02-28,168264.0
2013-01-31,167060.0
2012-12-31,165841.0
2012-11-30,165028.0
2012-10-31,163751.0
2012-09-30,162359.0
2012-08-31,161232.0
2012-07-31,160989.0
2012-06-30,161450.0
2012-05-31,161609.0
2012-04-30,160321.0
2012-03-31,160106.0
2012-02-29,159703.0
2012-01-31,160448.0
2011-12-31,160415.0
2011-11-30,160686.0
2011-10-31,161397.0
2011-09-30,162267.0
2011-08-31,162040.0
2011-07-31,160195.0
2011-06-30,158314.0
2011-05-31,157425.0
2011-04-30,157567.0
2011-03-31,157471.0
2011-02-28,158040.0
2011-01-31,157105.0
2010-12-31,156921.0
2010-11-30,155923.0
2010-10-31,156105.0
2010-09-30,155228.0
2010-08-31,156139.0
2010-07-31,156018.0
2010-06-30,156324.0
2010-05-31,155182.0
2010-04-30,155548.0
2010-03-31,155261.0
2010-02-28,155021.0
2010-01-31,154783.0
2009-12-31,154344.0
2009-11-30,153098.0
2009-10-31,150048.0
2009-09-30,148221.0
2009-08-31,146730.0
2009-07-31,148896.0
2009-06-30,151416.0
2009-05-31,154934.0
2009-04-30,156519.0
2009-03-31,157205.0
2009-02-28,157123.0
2009-01-31,156360.0
2008-12-31,156438.0
2008-11-30,157608.0
2008-10-31,160683.0
2008-09-30,163041.0
2008-08-31,164058.0
2008-07-31,162312.0
2008-06-30,159005.0
2008-05-31,155780.0
2008-04-30,153179.0
2008-03-31,153334.0
2008-02-29,153946.0
2008-01-31,155003.0
2007-12-31,154542.0
2007-11-30,154368.0
2007-10-31,153922.0
2007-09-30,153560.0
2007-08-31,153097.0
2007-07-31,152943.0
2007-06-30,153665.0
2007-05-31,153738.0
2007-04-30,153882.0
2007-03-31,152735.0
2007-02-28,152329.0
2007-01-31,153678.0
2006-12-31,156028.0
2006-11-30,157452.0
2006-10-31,156135.0
2006-09-30,154185.0
2006-08-31,153151.0
2006-07-31,152534.0
2006-06-30,152043.0
2006-05-31,151035.0
2006-04-30,150780.0
2006-03-31,150262.0
2006-02-28,149555.0
2006-01-31,147310.0
2005-12-31,145387.0
2005-11-30,143693.0
2005-10-31,143792.0
2005-09-30,144435.0
2005-08-31,144326.0
2005-07-31,144453.0
2005-06-30,144056.0
2005-05-31,145254.0
2005-04-30,145044.0
2005-03-31,144692.0
2005-02-28,142660.0
2005-01-31,140782.0
2004-12-31,138926.0
2004-11-30,138341.0
2004-10-31,137723.0
2004-09-30,137759.0
2004-08-31,137025.0
2004-07-31,136060.0
2004-06-30,134329.0
2004-05-31,131935.0
2004-04-30,129993.0
2004-03-31,128265.0
2004-02-29,127084.0
2004-01-31,126585.0
2003-12-31,125678.0
2003-11-30,124429.0
2003-10-31,123431.0
2003-09-30,121293.0
2003-08-31,120349.0
2003-07-31,119246.0
2003-06-30,119198.0
2003-05-31,118449.0
2003-04-30,117349.0
2003-03-31,116601.0
2003-02-28,117153.0
2003-01-31,117472.0
2002-12-31,117411.0
2002-11-30,116332.0
2002-10-31,115068.0
2002-09-30,114855.0
2002-08-31,114465.0
2002-07-31,114522.0
2002-06-30,114475.0
2002-05-31,115406.0
2002-04-30,116345.0
2002-03-31,116940.0
2002-02-28,116399.0
2002-01-31,115744.0
2001-12-31,115251.0
2001-11-30,115908.0
2001-10-31,116304.0
2001-09-30,116552.0
2001-08-31,116087.0
2001-07-31,115505.0
2001-06-30,115329.0
2001-05-31,114949.0
2001-04-30,115201.0
2001-03-31,115578.0
2001-02-28,115630.0
2001-01-31,114866.0
2000-12-31,113642.0
2000-11-30,112349.0
2000-10-31,112007.0
2000-09-30,111375.0
2000-08-31,111716.0
2000-07-31,111671.0
2000-06-30,111842.0
2000-05-31,110859.0
2000-04-30,109868.0
2000-03-31,108534.0
2000-02-29,109229.0
2000-01-31,110578.0
1999-12-31,112689.0
1999-11-30,113441.0
1999-10-31,113167.0
1999-09-30,111580.0
1999-08-31,109694.0
1999-07-31,107804.0
1999-06-30,105889.0
1999-05-31,105348.0
1999-04-30,105553.0
1999-03-31,105744.0
1999-02-28,104088.0
1999-01-31,101954.0
1998-12-31,99938.0
1998-11-30,98677.0
1998-10-31,97919.0
1998-09-30,98362.0
1998-08-31,98823.0
1998-07-31,99067.0
1998-06-30,99167.0
1998-05-31,98741.0
1998-04-30,97635.0
1998-03-31,96603.0
1998-02-28,96084.0
1998-01-31,95731.0
1997-12-31,95038.0
1997-11-30,94272.0
1997-10-31,93325.0
1997-09-30,92755.0
1997-08-31,91810.0
2023-11-30,251645.749084101
2023-10-31,251185.945763304
2023-09-30,250705.433514463
2023-08-31,250439.195404016
2023-07-31,249368.984652236
2023-06-30,248454.139886761
2023-05-31,247255.311671176
2023-04-30,247302.864942828
2023-03-31,247633.984804111
2023-02-28,249509.16478794
2023-01-31,251493.978255767
2022-12-31,253700.918801174
2022-11-30,254874.772982302
2022-10-31,256068.013672987
2022-09-30,257634.193578696
2022-08-31,260046.969098799
2022-07-31,261133.943419288
2022-06-30,260669.449344934
2022-05-31,258136.180052948
2022-04-30,255045.922761229
2022-03-31,251044.18007774
2022-02-28,246701.68887214
2022-01-31,243134.876046934
2021-12-31,240071.135165236
2021-11-30,237890.949504794
2021-10-31,235985.309675784
2021-09-30,234529.776135295
2021-08-31,233032.167001404
2021-07-31,230208.08289738
2021-06-30,226112.507612205
2021-05-31,221150.459290105
2021-04-30,216616.693440221
2021-03-31,212381.299361246
2021-02-28,208747.278613667
2021-01-31,205262.20799413
2020-12-31,201509.499546454
2020-11-30,197607.989348975
2020-10-31,193612.865424166
2020-09-30,190337.199942632
2020-08-31,187478.791485805
2020-07-31,185669.934379924
2020-06-30,184452.167449199
2020-05-31,183558.110365267
2020-04-30,182728.091186549
2020-03-31,182543.570221873
2020-02-29,182760.318507785
2020-01-31,182610.326714036
2019-12-31,181734.277469904
2019-11-30,180116.171555211
2019-10-31,178707.634739114
2019-09-30,177741.682620067
2019-08-31,177608.510836356
2019-07-31,177088.744510663
2019-06-30,176495.776926842
2019-05-31,175600.651822884
2019-04-30,174800.601342086
2019-03-31,174299.299300056
2019-02-28,173758.652559274
2019-01-31,173347.184035466
2018-12-31,172280.615944318
2018-11-30,171037.417602792
2018-10-31,169941.697338528
2018-09-30,168873.845510529
2018-08-31,167182.349775807
2018-07-31,165506.804894717
2018-06-30,164254.424056291
2018-05-31,163981.91055083
2018-04-30,163384.615803244
2018-03-31,162508.834303476
2018-02-28,161191.777600148
2018-01-31,160491.898359288
2017-12-31,160183.427011105
2017-11-30,160119.696448802
2017-10-31,159772.991302173
2017-09-30,159348.330122521
2017-08-31,158821.780056822
2017-07-31,158560.108624491
2017-06-30,158089.767958299
2017-05-31,157479.194900545
2017-04-30,156621.201191755
2017-03-31,155601.399934217
2017-02-28,154296.016604352
2017-01-31,153158.081491326
2016-12-31,152310.549565799
2016-11-30,152034.407477699
2016-10-31,151703.177724312
2016-09-30,151349.20300149
2016-08-31,151334.965528558
2016-07-31,151419.744980111
2016-06-30,151644.131551663
2016-05-31,151484.764937947
2016-04-30,151689.41319378
2016-03-31,152113.667339872
2016-02-29,152311.105056315
2016-01-31,151878.589860704
2015-12-31,151511.251546252
2015-11-30,151474.899909224
2015-10-31,151826.465040859
2015-09-30,151766.9197492
2015-08-31,152065.088544223
2015-07-31,151996.307555535
2015-06-30,151350.668369565
2015-05-31,149885.80168741
2015-04-30,148303.450916085
2015-03-31,147019.400524233
2015-02-28,146019.500578642
2015-01-31,145306.400558261
2014-12-31,145147.979131883
2014-11-30,145593.9528015
2014-10-31,145942.660233478
2014-09-30,146036.847961769
2014-08-31,145703.314623593
2014-07-31,145471.641501614
2014-06-30,145010.508945761
2014-05-31,144828.478602385
2014-04-30,144716.252188176
2014-03-31,144407.983189018
2014-02-28,143523.568717595
2014-01-31,142881.936686061
2013-12-31,143466.387710716
2013-11-30,144719.372471468
2013-10-31,145936.959264496
2013-09-30,146420.65290791
2013-08-31,146636.099479917
2013-07-31,146582.745199294
2013-06-30,146563.688638795
2013-05-31,146295.866910734
2013-04-30,145682.132633569
2013-03-31,144808.316540562
2013-02-28,143679.396180537
2013-01-31,143104.19268651
2012-12-31,143155.502497935
2012-11-30,143670.223740319
2012-10-31,144095.668325749
2012-09-30,144522.336337887
2012-08-31,144768.777297636
2012-07-31,144880.415257407
2012-06-30,144457.418448477
2012-05-31,143598.052017982
2012-04-30,142830.148245816
2012-03-31,142640.042834662
2012-02-29,144485.387048402
2012-01-31,145597.827930082
2011-12-31,146279.574319225
2011-11-30,145436.122820999
2011-10-31,145439.830693475
2011-09-30,145556.174434801
2011-08-31,145789.564920739
2011-07-31,146047.360527188
2011-06-30,146373.428796658
2011-05-31,147146.688549958
2011-04-30,148097.001071607
2011-03-31,149132.771786186
2011-02-28,150247.986220771
2011-01-31,151545.025924873
2010-12-31,152108.135706161
2010-11-30,152281.194007346
2010-10-31,152224.291224165
2010-09-30,152776.052224828
2010-08-31,153530.045237242
2010-07-31,154289.228942532
2010-06-30,155024.064022856
2010-05-31,155609.142827917
2010-04-30,156238.215895104
2010-03-31,156658.906577322
2010-02-28,157120.334673167
2010-01-31,157315.739601153
2009-12-31,157890.978701695
2009-11-30,158335.025294383
2009-10-31,159128.433546687
2009-09-30,160386.007132859
2009-08-31,161755.600937189
2009-07-31,163627.781457477
2009-06-30,165121.019784546
2009-05-31,167025.701885158
2009-04-30,168667.778067829
2009-03-31,170183.171626309
2009-02-28,170974.045727812
2009-01-31,171329.409265011
2008-12-31,140432.0
2008-11-30,141432.0
2008-10-31,142181.0
2008-09-30,142253.0
2008-08-31,141962.0
2008-07-31,141547.0
2008-06-30,141846.0
2008-05-31,142258.0
2008-04-30,142630.0
2008-03-31,142991.0
2008-02-29,142984.0
2008-01-31,142747.0
2007-12-31,142452.0
2007-11-30,141840.0
2007-10-31,141390.0
2007-09-30,140720.0
2007-08-31,140670.0
2007-07-31,140301.0
2007-06-30,140298.0
2007-05-31,139718.0
2007-04-30,139556.0
2007-03-31,138774.0
2007-02-28,138445.0
2007-01-31,137500.0
2006-12-31,136342.0
2006-11-30,134397.0
2006-10-31,133146.0
2006-09-30,132200.0
2006-08-31,131540.0
2006-07-31,130417.0
2006-06-30,129300.0
2006-05-31,128413.0
2006-04-30,127196.0
2006-03-31,125721.0
2006-02-28,123884.0
2006-01-31,122302.0
2005-12-31,120620.0
2005-11-30,119286.0
2005-10-31,117207.0
2005-09-30,114864.0
2005-08-31,111918.0
2005-07-31,109181.0
2005-06-30,106037.0
2005-05-31,104446.0
2005-04-30,102522.0
2023-11-30,662686.242428776
2023-10-31,663074.106931954
2023-09-30,664624.77598649
2023-08-31,664579.426635006
2023-07-31,662210.966944911
2023-06-30,657336.766355228
2023-05-31,650991.255260036
2023-04-30,647006.185016161
2023-03-31,643013.763660558
2023-02-28,641641.534662408
2023-01-31,641099.316419756
2022-12-31,642042.54860084
2022-11-30,641895.597444496
2022-10-31,643907.644503187
2022-09-30,648361.210634021
2022-08-31,655753.128393387
2022-07-31,660370.63263039
2022-06-30,660958.812978979
2022-05-31,653955.751659377
2022-04-30,641576.957148781
2022-03-31,626688.685822738
